"agency_id","agency_name","agency_url","agency_timezone","agency_lang"
"1","Градски Транспорт АД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"2","Автотранс 2000 ООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"3","Хеброс Бус АД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"4","ЕТ Грация - Ваня Симеонова","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"5","Пълдин бус ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"6","Меритранс 2002 ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"7","Ев-Мар-Транс ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"8","Кастел експорт ООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"9","Кричим-експрес ООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"10","Родопи-авто 07 ООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"11","К З Т Златанови ООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"12","Автобусни Превози Пловдив ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"13","Елит Тур Транс ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"14","Магистрали АД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"15","Сити Транс ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"16","Пловдив Експрес - 2000 ООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"17","Алмус бус  ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"18","Консорциум пътнически превози Пловдив ДЗЗД - КЗТ Златанови","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"19","Консорциум пътнически превози Пловдив ДЗЗД- Автобусни превози","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"20","Консорциум пътнически превози Пловдив ДЗЗД- Автотранс 2000","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"23","Консорциум ,,Пловдив-2017'-Автобусни превози Пловдив ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"24","Консорциум,,Пловдив-2017'-Меритранс 2017 ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"25","Консорциум,,Пловдив-2017' -Хеброс бус АД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"26","Консорциум,,Пловдив-2017 ' -Автотранс -2000 ООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"27",",,Меритранс 2017"""" ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"28","Консорциум,,Пловдив-2020'-Меритранс2002 ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"29","Консорциум,,Плодив-2020' -Автобусни превози ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"30","Консорциум,,Пловдив-2020' -Меритранс-2017 ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"31","Консорциум ,,Пловдив-2020' -Хеброс бус АД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"32","Консорциум,,Пловдив-2020'-Автотранс-2000' ООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"33","Детелина-Дрита ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"34","Емануил-09 ООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"35","Ран Транс РК ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"36","Алекс Травел ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"37","ЕТ Божко Златанов","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"38","Едитурс 99 ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"39","Якимо Контрол ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"40","ДГ1161 ,,Меритранс""2017 ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"41","ДГ1160 ,,Меритранс""2002ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"42","ДГ1159 ,,Автобусни превози' ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"43","25 ДГ258 ,,Меритранс  2017' ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"44","25ДГ 259,,Меритранс 2002' ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"45","25ДГ260 ,,Автобусни превози ""ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"46","25ДГ-276 ,,Автобусни превози' ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"47","ДГ-1079 КЗТ Златанови","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"48","ДГ-1077 Автобусни превози ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"49","ДГ - 1078 Меритранс 2017 ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"50","25ДГ-1344 ,,Меритранс 2002"" ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"51","25ДГ-1343 ,,Меритранс 2017""ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"52","25ДГ-1342 ,,Автобусни превози"" ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"53","26ДГ-273 ,,Автобусни превози"" ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"54","26ДГ-271 ,,Меритранс 2017"" ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
"55","26ДГ-272,,Меритранс 2002""ЕООД","https://www.plovdiv.bg/item/transport/mass-public-transport","Europe/Sofia","bg"
