"route_id","agency_id","route_type","route_color","route_short_name","route_long_name"
"34","52",3,,"15","Линия 15"
"33","53",3,,"12","Линия 12"
"20","50",3,,"99","Линия 99"
"32","48",3,,"11","Линия 11"
"5","53",3,,"27","Линия 27"
"24","55",3,,"10","Линия 10"
"17","52",3,,"44","Линия 44"
"23","49",3,,"113","Линия 113"
"11","51",3,,"16","Линия 16"
"26","54",3,,"4","Линия 4"
"28","52",3,,"6","Линия 6"
"30","51",3,,"7","Линия 7"
"13","50",3,,"18","Линия 18"
"10","53",3,,"20","Линия 20"
"7","48",3,,"21","Линия 21"
"6","54",3,,"22","Линия 22"
"3","48",3,,"25","Линия 25"
"14","52",3,,"29","Линия 29"
"22","52",3,,"66","Линия 66"
"19","55",3,,"93","Линия 93"
"25","52",3,,"222","Линия 222"
"4","48",3,,"26","Линия 26"
"16","51",3,,"37","Линия 37"
"27","52",3,,"1","Линия 1"
"2","55",3,,"24","Линия 24"
"15","47",3,,"36","Линия 36"
"12","48",3,,"17","Линия 17"
"18","52",3,,"116","Линия 116"
"31","48",3,,"9","Линия 9"
